event_date,event_timestamp,event_name,event_value_in_usd,user_id,user_pseudo_id,user_first_touch_timestamp,category,mobile_model_name,mobile_brand_name,operating_system,language,is_limited_ad_tracking,browser,browser_version,country,medium,name,traffic_source,platform,total_item_quantity,purchase_revenue_in_usd,refund_value_in_usd,shipping_value_in_usd,tax_value_in_usd,transaction_id,page_title,page_location,source,page_referrer,campaign
20201218,1608285089142064,user_engagement,,,139505255.2386210507,1608284993400730,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,YouTube Iconic Play Pin,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/YouTube+Iconic+Play+Pin,google,,<Other>
20201202,1606925080212968,session_start,,,57318675.2675376481,1606925080212968,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Lebanon,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://www.googlemerchandisestore.com/,,,
20201125,1606296641896609,page_view,,,13902786.0673385479,1606296641896609,mobile,Pixel 3,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,google,,<Other>
20210108,1610093727968353,user_engagement,,,63656791.0876825782,1610093691367543,mobile,Pixel 3,Google,Web,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Shopping Cart,https://shop.googlemerchandisestore.com/basket.html,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/store.html?,(referral)
20201217,1608231410345242,page_view,,,51098232.6564950910,1608230848665274,mobile,Pixel 3,Google,Android,,No,Chrome,87.0,United Kingdom,cpc,<Other>,google,WEB,,,,,,,Bags | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/New?,(referral)
20201201,1606794642230913,view_promotion,,,86762928.3657155608,1602304215226771,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,(not set),cpc,<Other>,google,WEB,,,,,,(not set),Home,https://shop.googlemerchandisestore.com/,,,
20201112,1605207289578140,user_engagement,,,7601188656.2546277161,1605207268341193,mobile,Pixel 4 XL,Google,Android,en-us,No,Chrome,87.0,Taiwan,cpc,<Other>,google,WEB,,,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,google,,<Other>
20201211,1607657058301288,user_engagement,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,,Google Camp Mug Gray,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Camp+Mug+Gray,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle?,(referral)
20201222,1608662951832626,user_engagement,,,78222512.5114977021,1608662850418789,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - My Account,https://shop.googlemerchandisestore.com/myaccount.html,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/myaccount.html?,(referral)
20210124,1611531749385456,page_view,,,1359073.4989017126,1611531405876474,mobile,Pixel 3,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,
20201116,1605529417964318,page_view,,,49760157.7026735167,1605528847570934,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/store.html,,,
20201211,1607671872790565,page_view,,,7529108.3603947452,1605755219477551,mobile,Pixel 3,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,google,,<Other>
20201118,1605734962481324,session_start,,,6981202.3664185801,1605734962481324,mobile,Pixel 4 XL,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201222,1608662946539445,scroll,,,78222512.5114977021,1608662850418789,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - My Account,https://shop.googlemerchandisestore.com/myaccount.html,,https://shop.googlemerchandisestore.com/wishlist.html?,
20210107,1610020778756975,session_start,,,5877057.5800583762,1610020778756975,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20210108,1610093691367543,first_visit,,,63656791.0876825782,1610093691367543,mobile,Pixel 3,Google,Web,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/store.html,,,
20201222,1608662894877945,page_view,,,78222512.5114977021,1608662850418789,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - My Account,https://shop.googlemerchandisestore.com/myaccount.html,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/myaccount.html?,(referral)
20210108,1610093691367543,session_start,,,63656791.0876825782,1610093691367543,mobile,Pixel 3,Google,Web,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/store.html,,,
20210124,1611531937097516,user_engagement,,,1359073.4989017126,1611531405876474,mobile,Pixel 3,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,shop.googlemerchandisestore.com,,(referral)
20201106,1604635488018063,view_item,,,57883074.8513476773,1604635434747443,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,Russia,cpc,<Other>,google,WEB,,,,,,(not set),Eco-Friendly | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/eco+friendly,,,
20210128,1611813369116111,first_visit,,,49675722.5712881558,1611813369116111,mobile,Pixel 3,Google,Android,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201212,1607796333545390,view_item,,,46573436.5522419113,1607796328449078,mobile,Pixel 3,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),Google Chrome Dinosaur Collectible,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Chrome+Dinosaur+Collectible,,,
20201211,1607656918900763,view_item,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,(not set),Lifestyle,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,shop.googlemerchandisestore.com,,(referral)
20201116,1605529396231774,page_view,,,49760157.7026735167,1605528847570934,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Womens Microfleece Jacket Black,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Microfleece+Jacket+Black,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/store.html?,(referral)
20201202,1606925214774641,page_view,,,57318675.2675376481,1606925080212968,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Lebanon,cpc,<Other>,google,WEB,,,,,,,Store search results,https://shop.googlemerchandisestore.com/asearch.html,,https://shop.googlemerchandisestore.com/?,
20201116,1605529496874241,scroll,,,49760157.7026735167,1605528847570934,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/store.html,,,
20201218,1608284993400730,page_view,,,139505255.2386210507,1608284993400730,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,YouTube Iconic Play Pin,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/YouTube+Iconic+Play+Pin,google,,<Other>
